date,startTime,endTime,stepCount,stepsDistance,calories,sleepQuality,sleepDuration,inactivityAlertCount,dailyMetMinutes,CONTINUOS_MODERATE,CONTINUOS_VIGOROUS,INTERMITTENT_MODERATE,INTERMITTENT_VIGOROUS,LIGHT,NON_WEAR,NO_DATA,SEDENTARY,SLEEP,vo2Max,maximumHeartRate,sleepGoal
2024-01-26,00:00:00,23:59:59,14080.0,9755.73828125,2547.0,0.872167,09:11:30,0.0,366.9999999999999,01:10:00,00:42:00,00:00:00,00:00:00,04:24:30,02:54:30,00:00:00,07:02:30,07:46:30,44.0,197.0,08:00:00
2015-11-27,,,,,,,,,,,,,,,,,,,,,
2025-06-21,00:00:00,23:59:59,25568.0,21580.40234375,3181.0,0.0,00:00:00,0.0,915.2999999999984,00:58:00,02:37:30,00:00:00,00:00:00,04:30:30,11:06:30,00:00:00,02:49:00,01:58:30,44.0,197.0,08:00:00
2021-09-16,00:00:00,23:59:59,11060.0,6132.66162109375,2651.0,0.885745,07:39:30,0.0,271.45000000000016,01:57:30,00:01:00,00:00:00,00:00:00,08:10:30,00:08:30,00:00:00,06:27:00,07:15:30,,,08:00:00
2024-07-15,00:00:00,23:59:59,27691.0,21221.25,3294.0,0.850627,07:18:30,0.0,776.6999999999997,01:19:30,02:12:30,00:00:00,00:00:00,04:55:30,00:00:00,00:00:00,07:42:00,07:50:30,44.0,197.0,08:00:00
2017-03-30,,,,,,,,,,,,,,,,,,,,,
2021-11-05,00:00:00,23:59:59,436.0,196.74533081054688,1439.0,0.835588,08:00:30,0.0,10.500000000000002,00:01:30,00:00:00,00:00:00,00:00:00,00:31:30,17:33:00,00:00:00,00:13:00,05:41:00,,,08:00:00
2025-05-27,00:00:00,23:59:59,20289.0,14884.9140625,3042.0,0.0,00:00:00,0.0,649.4499999999996,01:48:30,01:17:00,00:00:00,00:00:00,07:37:30,07:11:00,00:00:00,04:20:30,01:45:30,44.0,197.0,08:00:00
2024-09-15,00:00:00,23:59:59,0.0,0.0,1365.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:01:00,23:48:30,00:00:00,00:00:00,00:10:30,44.0,197.0,08:00:00
2023-06-11,00:00:00,23:59:59,0.0,0.0,1363.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,23:44:00,00:00:00,00:00:00,00:16:00,,197.0,08:00:00
2023-02-09,00:00:00,23:59:59,27239.0,17286.404296875,3386.0,0.879487,06:30:00,0.0,662.2499999999999,02:34:30,01:01:00,00:00:00,00:00:00,09:28:00,00:00:00,00:00:00,03:37:30,07:19:00,,197.0,08:00:00
2023-08-26,00:00:00,23:59:59,24925.0,18095.51953125,3128.0,0.892495,08:13:00,1.0,729.4500000000005,02:55:00,01:10:30,00:00:00,00:00:00,03:39:00,01:51:00,00:00:00,06:16:30,08:08:00,,197.0,08:00:00
2024-09-27,00:00:00,23:59:59,8784.0,4850.35107421875,2406.0,0.883273,06:55:30,0.0,143.40000000000003,01:07:00,00:01:00,00:00:00,00:00:00,07:59:00,00:00:00,00:00:00,06:11:30,08:41:30,44.0,197.0,08:00:00
2018-02-10,,,,,,,,,,,,,,,,,,,,,
2021-08-02,00:00:00,23:59:59,12515.0,7773.0927734375,2561.0,0.870187,07:34:30,0.0,258.3000000000004,02:15:00,00:00:00,00:00:00,00:00:00,06:39:30,00:00:00,00:00:00,06:07:00,08:58:30,,,08:00:00
2024-11-26,00:00:00,23:59:59,11632.0,5858.25830078125,2426.0,0.845371,08:11:30,1.0,175.54999999999973,01:00:30,00:00:00,00:00:00,00:00:00,07:41:30,00:00:00,00:00:00,06:41:00,08:37:00,44.0,197.0,08:00:00
2024-08-21,00:00:00,23:59:59,23286.0,14726.96875,2873.0,0.856281,08:17:30,0.0,442.95000000000056,03:14:00,00:20:30,00:00:00,00:00:00,06:37:30,02:08:00,00:00:00,02:47:30,08:52:30,44.0,197.0,08:00:00
2019-02-04,,,,,,,,,,,,,,,,,,,,,
2024-01-18,00:00:00,23:59:59,10428.0,5577.490234375,2446.0,0.864088,07:32:30,1.0,250.25000000000023,01:46:30,00:13:00,00:00:00,00:00:00,04:28:30,00:00:00,00:00:00,09:44:30,07:47:30,44.0,197.0,08:00:00
2024-10-31,00:00:00,23:59:59,20577.0,13181.318359375,3207.0,0.801363,08:33:30,0.0,562.5500000000004,01:44:00,01:01:30,00:00:00,00:00:00,09:27:00,00:00:00,00:00:00,04:43:30,07:04:00,44.0,197.0,08:00:00
2019-07-12,00:00:00,23:59:59,0.0,0.0,1255.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,24:00:00,,,
2022-12-02,00:00:00,23:59:59,0.0,0.0,1365.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30,23:48:30,00:00:00,00:00:00,00:11:00,,197.0,08:00:00
2016-05-26,,,,,,,,,,,,,,,,,,,,,
2022-03-03,00:00:00,23:59:59,586.0,453.42840576171875,1429.0,0.90708,03:46:00,0.0,1.7500000000000004,00:00:00,00:00:00,00:00:00,00:00:00,00:18:00,18:30:00,00:00:00,02:09:00,03:03:00,,197.0,08:00:00
2020-02-12,,,,,,,,,,,,,,,,,,,,,
2021-04-15,00:00:00,23:59:59,18701.0,11223.501953125,2756.0,0.835459,06:32:00,0.0,384.9500000000001,02:02:30,00:22:00,00:00:00,00:00:00,06:56:30,02:37:00,00:00:00,06:37:30,05:24:30,,,08:00:00
2020-04-28,,,,,,,,,,,,,,,,,,,,,
2023-03-21,00:00:00,23:59:59,11471.0,6039.68359375,2543.0,0.864322,04:58:30,0.0,270.09999999999997,01:30:30,00:20:00,00:00:00,00:00:00,06:11:00,00:00:00,00:00:00,09:06:30,06:52:00,,197.0,08:00:00
2015-08-18,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,
2024-01-23,00:00:00,23:59:59,4496.0,2149.75634765625,1970.0,0.839303,08:36:30,0.0,72.29999999999995,00:28:30,00:00:00,00:00:00,00:00:00,04:02:30,06:25:30,00:00:00,05:56:30,07:07:00,44.0,197.0,08:00:00
2019-07-18,00:00:00,23:59:59,0.0,0.0,1255.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,,,
2023-08-04,00:00:00,23:59:59,4369.0,2115.58935546875,2042.0,0.834774,08:40:30,0.0,69.94999999999997,00:25:30,00:00:00,00:00:00,00:00:00,04:17:00,00:00:00,00:00:00,09:28:30,09:49:00,,197.0,08:00:00
2015-12-13,,,,,,,,,,,,,,,,,,,,,
2019-10-29,,,,,,,,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,,,,,,,,,
2017-10-23,,,,,,,,,,,,,,,,,,,,,
2025-02-03,00:00:00,23:59:59,8236.0,4155.57763671875,2257.0,0.833859,07:55:30,0.0,134.84999999999982,00:54:30,00:00:00,00:00:00,00:00:00,06:27:30,03:17:30,00:00:00,06:50:30,06:30:00,44.0,197.0,08:00:00
2017-11-08,,,,,,,,,,,,,,,,,,,,,
2023-02-04,00:00:00,23:59:59,24746.0,14408.04296875,3764.0,0.819882,08:28:00,0.0,1014.7999999999998,03:02:30,02:32:30,00:00:00,00:00:00,06:19:00,01:48:00,00:00:00,02:12:00,08:06:00,,197.0,08:00:00
2022-07-31,00:00:00,23:59:59,30469.0,19737.134765625,3293.0,0.859579,08:18:30,0.0,637.7499999999989,03:32:30,00:55:30,00:00:00,00:00:00,07:02:00,00:00:00,00:00:00,05:56:00,06:34:00,,197.0,08:00:00
2023-03-02,00:00:00,23:59:59,22294.0,12439.3828125,2980.0,0.85034,08:34:30,0.0,495.4000000000003,02:52:00,00:39:00,00:00:00,00:00:00,06:50:30,00:00:00,00:00:00,05:07:30,08:31:00,,197.0,08:00:00
2016-07-11,,,,,,,,,,,,,,,,,,,,,
2024-07-16,00:00:00,23:59:59,8820.0,4304.36767578125,2315.0,0.821795,06:30:00,0.0,129.09999999999985,00:41:00,00:00:00,00:00:00,00:00:00,07:20:30,00:00:00,00:00:00,07:53:30,08:05:00,44.0,197.0,08:00:00
2022-05-04,00:00:00,23:59:59,20373.0,15970.03125,2916.0,0.872079,06:46:30,0.0,625.199999999999,01:18:00,01:22:00,00:00:00,00:00:00,04:06:00,00:55:30,00:00:00,06:54:30,09:24:00,,197.0,08:00:00
2024-08-25,00:00:00,23:59:59,17721.0,12313.0576171875,2382.0,0.860485,09:58:30,0.0,301.2000000000002,02:29:00,00:00:00,00:00:00,00:00:00,03:53:30,00:00:00,00:00:00,03:22:00,14:15:30,44.0,197.0,08:00:00
2021-11-22,00:00:00,23:59:59,5864.0,3304.687744140625,2255.0,0.843358,06:39:00,1.0,171.8000000000001,01:20:00,00:01:30,00:00:00,00:00:00,04:48:30,00:00:00,00:00:00,09:13:00,08:37:00,,,08:00:00
2019-11-25,,,,,,,,,,,,,,,,,,,,,
2023-09-04,00:00:00,23:59:59,10681.0,5942.88623046875,2247.0,0.0,00:00:00,0.0,153.1999999999999,01:07:30,00:00:00,00:00:00,00:00:00,05:59:30,00:00:00,00:00:00,06:29:30,10:23:30,,197.0,08:00:00
2021-12-04,,,,,,,,,,,,,,,,,,,,,08:00:00
2017-07-18,,,,,,,,,,,,,,,,,,,,,
2021-09-01,00:00:00,23:59:59,10297.0,5267.11767578125,2564.0,0.903784,07:42:30,0.0,260.6000000000005,01:48:00,00:01:00,00:00:00,00:00:00,07:40:00,01:19:30,00:00:00,05:12:00,07:59:30,,,08:00:00
2019-05-25,00:00:00,23:59:59,0.0,0.0,1254.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,,,
2024-03-07,00:00:00,23:59:59,22723.0,13665.380859375,3285.0,0.0,00:00:00,0.0,793.299999999999,01:55:00,01:49:30,00:00:00,00:00:00,05:18:30,00:00:00,00:00:00,05:28:00,09:29:00,44.0,197.0,08:00:00
2015-06-12,,,,,,,,,,,,,,,,,,,,,
2017-02-25,,,,,,,,,,,,,,,,,,,,,
2024-04-08,00:00:00,23:59:59,10408.0,5588.53369140625,2333.0,0.876742,07:46:30,0.0,161.8500000000001,01:00:00,00:00:00,00:00:00,00:00:00,07:06:30,03:44:00,00:00:00,05:30:00,06:39:30,44.0,197.0,08:00:00
2016-06-05,,,,,,,,,,,,,,,,,,,,,
2015-06-25,,,,,,,,,,,,,,,,,,,,,
2023-10-20,00:00:00,23:59:59,11920.0,6238.94482421875,2759.0,0.814815,07:25:30,0.0,273.6500000000004,02:15:30,00:03:00,00:00:00,00:00:00,08:27:30,00:00:00,00:00:00,07:34:00,05:40:00,,197.0,08:00:00
2018-01-12,,,,,,,,,,,,,,,,,,,,,
2024-04-10,00:00:00,23:59:59,0.0,0.0,1365.0,0.0,00:00:00,0.0,0.15000000000000002,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30,23:57:00,00:00:00,00:00:00,00:02:30,44.0,197.0,08:00:00
2018-01-26,,,,,,,,,,,,,,,,,,,,,
2021-06-09,00:00:00,23:59:59,20523.0,12868.98828125,2761.0,0.907982,07:31:00,0.0,373.29999999999967,02:26:00,00:08:00,00:00:00,00:00:00,07:06:00,00:00:00,00:00:00,06:10:30,08:09:30,,,08:00:00
2015-07-08,,,,,,,,,,,,,,,,,,,,,
2022-08-07,00:00:00,23:59:59,16470.0,13283.92578125,2642.0,0.881474,08:22:00,0.0,481.69999999999993,00:29:00,01:13:30,00:00:00,00:00:00,04:32:00,00:00:00,00:00:00,05:23:30,12:22:00,,197.0,08:00:00
2022-04-16,00:00:00,23:59:59,384.0,184.21546936035156,1411.0,0.851107,08:17:00,0.0,7.949999999999999,00:03:00,00:00:00,00:00:00,00:00:00,00:14:00,16:22:00,00:00:00,00:02:30,07:18:30,,197.0,08:00:00
2015-06-07,,,,,,,,,,,,,,,,,,,,,
2018-06-09,,,,,,,,,,,,,,,,,,,,,
2021-08-26,00:00:00,23:59:59,19762.0,12490.2900390625,3061.0,0.904192,05:34:00,0.0,524.0000000000006,03:18:00,00:29:00,00:00:00,00:00:00,07:02:30,00:11:00,00:00:00,05:42:00,07:17:30,,,08:00:00
2023-08-17,00:00:00,23:59:59,6840.0,3614.699462890625,2266.0,0.843678,07:15:00,1.0,186.7500000000001,00:52:00,00:21:30,00:00:00,00:00:00,04:55:00,00:49:00,00:00:00,08:41:30,08:21:00,,197.0,08:00:00
2020-01-22,00:00:00,23:59:59,0.0,0.0,1254.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,24:00:00,00:00:00,00:00:00,00:00:00,,,
2019-06-26,00:00:00,23:59:59,0.0,0.0,1255.0,0.0,00:00:00,0.0,0.0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,16:39:00,00:00:00,00:00:00,07:21:00,,,
2016-06-26,,,,,,,,,,,,,,,,,,,,,
