date,name,startTime,stopTime,timeZoneOffset,distance,duration,kiloCalories,maximumHeartRate,averageHeartRate,duration_minutes,vo2Max,restingHeartRate,anaerobicThreshold,functionalThresholdPower,sleepGoal,sport,minHeartRate
2017-07-23,Laufen,14:53:26,15:58:59,120,10503.0,01:05:33,587.0,198,,01:05:33,48,55.0,178.0,,,RUNNING,
2024-02-12,,20:14:26,20:44:02,60,,00:29:36,206.0,197,128.0,00:29:36,44,55.0,177.0,172.0,8.0,INDOOR_CYCLING,100.0
2023-03-19,,17:40:45,19:12:37,60,,01:31:52,732.0,197,136.0,01:31:52,45,55.0,177.0,177.0,8.0,INDOOR_CYCLING,94.0
2023-04-29,,08:14:07,11:13:54,120,72330.203125,02:59:47,1680.0,197,160.0,02:59:47,44,55.0,177.0,172.0,8.0,ROAD_BIKING,89.0
2023-05-22,,17:46:14,18:07:53,120,770.4000244140625,00:21:39,143.0,197,142.0,00:21:39,44,55.0,177.0,172.0,8.0,OPEN_WATER_SWIMMING,90.0
2022-10-19,,16:51:35,17:51:03,120,10392.0,00:59:28,650.0,197,172.0,00:59:28,45,55.0,177.0,177.0,8.0,RUNNING,113.0
2017-03-22,Laufen,11:31:06,12:04:36,60,5170.5,00:33:30,316.0,199,,00:33:30,48,55.0,179.0,220.0,,RUNNING,
2015-06-29,Jogging,09:54:37,12:16:03,120,36887.0,02:21:26,1018.0,200,133.0,02:21:26,42,55.0,180.0,,,JOGGING,96.0
2021-09-06,,16:09:20,16:38:29,120,0.0,00:29:09,60.0,194,84.0,00:29:09,45,55.0,175.0,177.0,8.0,MOBILITY_DYNAMIC,66.0
2020-04-27,Laufen,08:28:19,09:11:22,120,6644.10009765625,00:43:03,369.0,195,,00:43:03,46,55.0,176.0,,,RUNNING,
2022-05-01,,10:54:55,12:44:33,120,11090.0,01:49:38,1023.0,197,156.0,01:49:38,45,55.0,177.0,177.0,8.0,RUNNING,85.0
2019-06-03,Radfahren,19:54:12,20:22:21,120,0.0,00:28:09,120.0,196,,00:28:09,45,55.0,176.0,256.0,,CYCLING,
2023-06-04,,15:34:26,16:57:54,120,6257.0,01:23:28,344.0,197,155.0,01:23:28,44,55.0,177.0,172.0,8.0,RUNNING,107.0
2020-05-31,Laufen,07:13:41,07:52:42,120,6700.2998046875,00:39:01,401.0,195,,00:39:01,46,55.0,176.0,,,RUNNING,
2025-05-13,,19:44:23,20:23:24,120,7186.7001953125,00:39:01,389.0,197,161.0,00:39:01,44,55.0,177.0,172.0,8.0,RUNNING,75.0
2021-08-23,,19:05:08,19:58:53,120,0.0,00:53:45,217.0,194,100.0,00:53:45,45,55.0,175.0,177.0,8.0,BODY_AND_MIND,64.0
2023-11-04,,16:50:54,17:49:36,60,10488.900390625,00:58:42,595.0,197,164.0,00:58:42,44,55.0,177.0,172.0,8.0,RUNNING,94.0
2021-05-14,,09:07:11,13:28:45,120,20271.0,04:21:34,1924.0,194,129.0,04:21:34,45,55.0,175.0,177.0,8.0,HIKING,93.0
2020-05-23,Laufen,07:42:57,08:23:28,120,6642.7998046875,00:40:31,391.0,195,,00:40:31,46,55.0,176.0,,,RUNNING,
2018-06-22,Laufen,09:36:26,10:34:20,120,9294.7998046875,00:57:54,469.0,197,,00:57:54,45,55.0,177.0,256.0,,RUNNING,
2023-05-13,,12:42:06,13:24:15,120,5134.5,00:42:09,324.0,197,149.0,00:42:09,44,55.0,177.0,172.0,8.0,RUNNING,98.0
2023-09-25,,19:39:43,20:27:22,120,8528.7001953125,00:47:39,456.0,197,158.0,00:47:39,44,55.0,177.0,172.0,8.0,RUNNING,106.0
2025-03-22,,17:58:59,18:44:40,60,800.0,00:45:41,254.0,197,111.0,00:45:41,44,55.0,177.0,172.0,8.0,POOL_SWIMMING,84.0
2018-11-01,Laufen,09:22:45,09:34:06,60,1201.800048828125,00:11:21,49.0,197,,00:11:21,45,55.0,177.0,256.0,,RUNNING,
2024-07-11,,19:09:14,20:05:28,120,8217.2998046875,00:56:14,446.0,197,164.0,00:56:14,44,55.0,177.0,172.0,8.0,RUNNING,109.0
2024-06-19,,17:53:29,18:40:44,120,8535.099609375,00:47:15,428.0,197,154.0,00:47:15,44,55.0,177.0,172.0,8.0,ROAD_BIKING,88.0
2021-04-05,,07:36:38,08:06:48,120,4693.39990234375,00:30:10,242.0,195,136.0,00:30:10,46,55.0,176.0,256.0,8.0,RUNNING,91.0
2021-10-19,,19:11:26,20:10:34,120,10342.400390625,00:59:08,645.0,194,169.0,00:59:08,45,55.0,175.0,177.0,8.0,RUNNING,95.0
2022-09-29,,20:02:35,21:01:25,120,10432.2001953125,00:58:50,635.0,197,170.0,00:58:50,45,55.0,177.0,177.0,8.0,RUNNING,119.0
2022-05-08,,20:07:21,21:07:30,120,10332.900390625,01:00:09,647.0,197,171.0,01:00:09,45,55.0,177.0,177.0,8.0,RUNNING,97.0
2024-07-25,,19:09:54,20:32:16,120,12205.7998046875,01:22:22,654.0,197,163.0,01:22:22,44,55.0,177.0,172.0,8.0,RUNNING,113.0
2023-04-19,,17:14:15,18:29:57,120,8721.2998046875,01:15:42,574.0,197,148.0,01:15:42,44,55.0,177.0,177.0,8.0,MOUNTAIN_BIKING,97.0
2020-05-28,Laufen,08:39:30,09:19:44,120,6645.5,00:40:14,411.0,195,,00:40:14,46,55.0,176.0,,,RUNNING,
2019-04-14,Laufen,16:52:44,17:00:58,120,1644.5,00:08:14,88.0,197,,00:08:14,45,55.0,177.0,,,RUNNING,
2018-10-16,Freiwasser,16:28:18,17:29:03,120,,01:00:45,266.0,197,,01:00:45,45,55.0,177.0,256.0,,OPEN_WATER_SWIMMING,
